timestamp,value,axis
113902,-0.09893798828125,x
113904,-0.6051483154296875,y
113905,-0.772857666015625,z
113905,-0.145843505859375,x
113907,0.075927734375,y
113908,-1.2563018798828125,z
113908,0.0626983642578125,x
113910,-0.8862762451171875,y
113911,0.2621307373046875,z
113911,-0.049896240234375,x
113913,0.0457305908203125,y
113914,-1.1043243408203125,z
113914,0.0359039306640625,x
113916,-0.8698883056640625,y
113917,0.6652374267578125,z
113917,-0.1141510009765625,x
113919,-0.0619049072265625,y
113920,-1.0380401611328125,z
113920,0.005218505859375,x
113922,-0.8841705322265625,y
113923,0.0372772216796875,z
