timestamp,value,axis
113923,-0.14007568359375,x
113925,0.0280914306640625,y
113925,-1.410491943359375,z
113926,-0.0633544921875,x
113928,-0.853424072265625,y
113928,0.0054931640625,z
113930,-0.0617828369140625,x
113931,-0.399139404296875,y
113931,-0.9220428466796875,z
113933,-0.058563232421875,x
113934,-0.5258941650390625,y
113934,-0.58984375,z
113937,0.02362060546875,x
113938,-0.729461669921875,y
113938,-0.3498382568359375,z
113940,0.009857177734375,x
113941,-0.1781768798828125,y
113941,-1.0380859375,z
113943,0.0684051513671875,x
113944,-0.8377227783203125,y
113944,0.0728759765625,z
